departure_date,origin_cluster_id,locality,departure_time,destination_cluster_id,distance_meters,static_duration_seconds,traffic_duration_seconds,predicted_arrival_time,arrival_buffer_minutes,status
2026-08-24,K2,Kaggadasapura,08:45,OFFICE,6808,1362,1388,2026-08-24T09:08:08+05:30,71.86666666666666,success
2026-08-24,K2,Kaggadasapura,09:00,OFFICE,6808,1362,1436,2026-08-24T09:23:56+05:30,56.06666666666667,success
2026-08-24,K2,Kaggadasapura,09:15,OFFICE,6808,1362,1396,2026-08-24T09:38:16+05:30,41.733333333333334,success
2026-08-24,K2,Kaggadasapura,09:30,OFFICE,6808,1362,1441,2026-08-24T09:54:01+05:30,25.983333333333334,success
2026-08-24,K2,Kaggadasapura,09:45,OFFICE,6808,1362,1418,2026-08-24T10:08:38+05:30,11.366666666666667,success
2026-08-24,K2,Kaggadasapura,10:00,OFFICE,6808,1362,1435,2026-08-24T10:23:55+05:30,-3.9166666666666665,success
2026-08-24,K3,Kaggadasapura,08:30,OFFICE,7580,1553,1613,2026-08-24T08:56:53+05:30,83.11666666666666,success
2026-08-24,K3,Kaggadasapura,08:45,OFFICE,7580,1553,1599,2026-08-24T09:11:39+05:30,68.35,success
2026-08-24,K3,Kaggadasapura,09:00,OFFICE,7580,1553,1633,2026-08-24T09:27:13+05:30,52.78333333333333,success
2026-08-24,K3,Kaggadasapura,09:15,OFFICE,7580,1553,1595,2026-08-24T09:41:35+05:30,38.416666666666664,success
2026-08-24,K3,Kaggadasapura,09:30,OFFICE,7580,1553,1626,2026-08-24T09:57:06+05:30,22.9,success
2026-08-24,K3,Kaggadasapura,09:45,OFFICE,7580,1553,1605,2026-08-24T10:11:45+05:30,8.25,success
2026-08-24,K3,Kaggadasapura,10:00,OFFICE,7580,1553,1619,2026-08-24T10:26:59+05:30,-6.983333333333333,success
2026-08-24,V1,Vibhutipura,08:30,OFFICE,8795,1857,1913,2026-08-24T09:01:53+05:30,78.11666666666666,success
2026-08-24,V1,Vibhutipura,08:45,OFFICE,8795,1857,1931,2026-08-24T09:17:11+05:30,62.81666666666667,success
2026-08-24,V1,Vibhutipura,09:00,OFFICE,8795,1857,1909,2026-08-24T09:31:49+05:30,48.18333333333333,success
2026-08-24,V1,Vibhutipura,09:15,OFFICE,8795,1857,1941,2026-08-24T09:47:21+05:30,32.65,success
2026-08-24,V1,Vibhutipura,09:30,OFFICE,8795,1857,1921,2026-08-24T10:02:01+05:30,17.983333333333334,success
2026-08-24,V1,Vibhutipura,09:45,OFFICE,8795,1857,1943,2026-08-24T10:17:23+05:30,2.6166666666666667,success
2026-08-24,V1,Vibhutipura,10:00,OFFICE,8795,1857,1952,2026-08-24T10:32:32+05:30,-12.533333333333333,success
2026-08-24,V2,Vibhutipura,08:30,OFFICE,9728,1779,1940,2026-08-24T09:02:20+05:30,77.66666666666667,success
2026-08-24,V2,Vibhutipura,08:45,OFFICE,9728,1779,1978,2026-08-24T09:17:58+05:30,62.03333333333333,success
2026-08-24,V2,Vibhutipura,09:00,OFFICE,9728,1779,2047,2026-08-24T09:34:07+05:30,45.88333333333333,success
2026-08-24,V2,Vibhutipura,09:15,OFFICE,9728,1779,2128,2026-08-24T09:50:28+05:30,29.533333333333335,success
2026-08-24,V2,Vibhutipura,09:30,OFFICE,9728,1779,2173,2026-08-24T10:06:13+05:30,13.783333333333333,success
2026-08-24,V2,Vibhutipura,09:45,OFFICE,9728,1779,2230,2026-08-24T10:22:10+05:30,-2.1666666666666665,success
2026-08-24,V2,Vibhutipura,10:00,OFFICE,9728,1779,2251,2026-08-24T10:37:31+05:30,-17.516666666666666,success
2026-08-24,V3,Vibhutipura,08:30,OFFICE,9579,1938,2108,2026-08-24T09:05:08+05:30,74.86666666666666,success
2026-08-24,V3,Vibhutipura,08:45,OFFICE,9579,1938,2157,2026-08-24T09:20:57+05:30,59.05,success
2026-08-24,V3,Vibhutipura,09:00,OFFICE,9579,1938,2257,2026-08-24T09:37:37+05:30,42.38333333333333,success
2026-08-24,V3,Vibhutipura,09:15,OFFICE,9579,1938,2348,2026-08-24T09:54:08+05:30,25.866666666666667,success
2026-08-24,V3,Vibhutipura,09:30,OFFICE,9579,1938,2329,2026-08-24T10:08:49+05:30,11.183333333333334,success
2026-08-24,V3,Vibhutipura,09:45,OFFICE,9579,1938,2451,2026-08-24T10:25:51+05:30,-5.85,success
2026-08-24,V3,Vibhutipura,10:00,OFFICE,9579,1938,2367,2026-08-24T10:39:27+05:30,-19.45,success
2026-08-24,B1,B. Narayanapura,08:30,OFFICE,2724,562,530,2026-08-24T08:38:50+05:30,101.16666666666667,success
2026-08-24,B1,B. Narayanapura,08:45,OFFICE,2724,562,538,2026-08-24T08:53:58+05:30,86.03333333333333,success
2026-08-24,B1,B. Narayanapura,09:00,OFFICE,2724,562,546,2026-08-24T09:09:06+05:30,70.9,success
2026-08-24,B1,B. Narayanapura,09:15,OFFICE,2724,562,566,2026-08-24T09:24:26+05:30,55.56666666666667,success
2026-08-24,B1,B. Narayanapura,09:30,OFFICE,2724,562,568,2026-08-24T09:39:28+05:30,40.53333333333333,success
2026-08-24,B1,B. Narayanapura,09:45,OFFICE,2724,562,579,2026-08-24T09:54:39+05:30,25.35,success
2026-08-24,B1,B. Narayanapura,10:00,OFFICE,2724,562,589,2026-08-24T10:09:49+05:30,10.183333333333334,success
2026-08-24,B2,B. Narayanapura,08:30,OFFICE,2892,594,578,2026-08-24T08:39:38+05:30,100.36666666666666,success
2026-08-24,B2,B. Narayanapura,08:45,OFFICE,2892,594,585,2026-08-24T08:54:45+05:30,85.25,success
2026-08-24,B2,B. Narayanapura,09:00,OFFICE,2892,594,591,2026-08-24T09:09:51+05:30,70.15,success
2026-08-24,B2,B. Narayanapura,09:15,OFFICE,2892,594,609,2026-08-24T09:25:09+05:30,54.85,success
2026-08-24,B2,B. Narayanapura,09:30,OFFICE,2892,594,614,2026-08-24T09:40:14+05:30,39.766666666666666,success
2026-08-24,B2,B. Narayanapura,09:45,OFFICE,2892,594,624,2026-08-24T09:55:24+05:30,24.6,success
2026-08-24,B2,B. Narayanapura,10:00,OFFICE,2892,594,631,2026-08-24T10:10:31+05:30,9.483333333333333,success
2026-08-24,B3,B. Narayanapura,08:30,OFFICE,3607,852,817,2026-08-24T08:43:37+05:30,96.38333333333334,success
2026-08-24,B3,B. Narayanapura,08:45,OFFICE,3607,852,828,2026-08-24T08:58:48+05:30,81.2,success
2026-08-24,B3,B. Narayanapura,09:00,OFFICE,3607,852,827,2026-08-24T09:13:47+05:30,66.21666666666667,success
2026-08-24,B3,B. Narayanapura,09:15,OFFICE,3607,852,849,2026-08-24T09:29:09+05:30,50.85,success
2026-08-24,B3,B. Narayanapura,09:30,OFFICE,3607,852,848,2026-08-24T09:44:08+05:30,35.86666666666667,success
2026-08-24,B3,B. Narayanapura,09:45,OFFICE,3607,852,855,2026-08-24T09:59:15+05:30,20.75,success
2026-08-24,B3,B. Narayanapura,10:00,OFFICE,3607,852,869,2026-08-24T10:14:29+05:30,5.516666666666667,success
2026-08-24,R1,KR Puram,08:30,OFFICE,5378,1107,1420,2026-08-24T08:53:40+05:30,86.33333333333333,success
2026-08-24,R1,KR Puram,08:45,OFFICE,5378,1107,1493,2026-08-24T09:09:53+05:30,70.11666666666666,success
2026-08-24,R1,KR Puram,09:00,OFFICE,5378,1107,1473,2026-08-24T09:24:33+05:30,55.45,success
2026-08-24,R1,KR Puram,09:15,OFFICE,5378,1107,1479,2026-08-24T09:39:39+05:30,40.35,success
2026-08-24,R1,KR Puram,09:30,OFFICE,5378,1107,1472,2026-08-24T09:54:32+05:30,25.466666666666665,success
2026-08-24,R1,KR Puram,09:45,OFFICE,5378,1107,1468,2026-08-24T10:09:28+05:30,10.533333333333333,success
2026-08-24,R1,KR Puram,10:00,OFFICE,5378,1107,1473,2026-08-24T10:24:33+05:30,-4.55,success
2026-08-24,R2,KR Puram,08:30,OFFICE,4771,939,1250,2026-08-24T08:50:50+05:30,89.16666666666667,success
2026-08-24,R2,KR Puram,08:45,OFFICE,4771,939,1318,2026-08-24T09:06:58+05:30,73.03333333333333,success
2026-08-24,R2,KR Puram,09:00,OFFICE,4771,939,1299,2026-08-24T09:21:39+05:30,58.35,success
2026-08-24,R2,KR Puram,09:15,OFFICE,4771,939,1303,2026-08-24T09:36:43+05:30,43.28333333333333,success
2026-08-24,R2,KR Puram,09:30,OFFICE,4771,939,1304,2026-08-24T09:51:44+05:30,28.266666666666666,success
2026-08-24,R2,KR Puram,09:45,OFFICE,4771,939,1302,2026-08-24T10:06:42+05:30,13.3,success
2026-08-24,R2,KR Puram,10:00,OFFICE,4771,939,1330,2026-08-24T10:22:10+05:30,-2.1666666666666665,success
2026-08-24,R3,KR Puram,08:30,OFFICE,6159,1038,1287,2026-08-24T08:51:27+05:30,88.55,success
2026-08-24,R3,KR Puram,08:45,OFFICE,6159,1038,1352,2026-08-24T09:07:32+05:30,72.46666666666667,success
2026-08-24,R3,KR Puram,09:00,OFFICE,6159,1038,1353,2026-08-24T09:22:33+05:30,57.45,success
2026-08-24,R3,KR Puram,09:15,OFFICE,6159,1038,1339,2026-08-24T09:37:19+05:30,42.68333333333333,success
2026-08-24,R3,KR Puram,09:30,OFFICE,6159,1038,1344,2026-08-24T09:52:24+05:30,27.6,success
2026-08-24,R3,KR Puram,09:45,OFFICE,6159,1038,1343,2026-08-24T10:07:23+05:30,12.616666666666667,success
2026-08-24,R3,KR Puram,10:00,OFFICE,6159,1038,1348,2026-08-24T10:22:28+05:30,-2.466666666666667,success
2026-08-25,H1,Hoodi,08:30,OFFICE,1952,391,390,2026-08-25T08:36:30+05:30,103.5,success
2026-08-25,H1,Hoodi,08:45,OFFICE,1952,391,381,2026-08-25T08:51:21+05:30,88.65,success
2026-08-25,H1,Hoodi,09:00,OFFICE,1952,391,387,2026-08-25T09:06:27+05:30,73.55,success
2026-08-25,H1,Hoodi,09:15,OFFICE,1952,391,393,2026-08-25T09:21:33+05:30,58.45,success
2026-08-25,H1,Hoodi,09:30,OFFICE,1952,391,388,2026-08-25T09:36:28+05:30,43.53333333333333,success
2026-08-25,H1,Hoodi,09:45,OFFICE,1952,391,393,2026-08-25T09:51:33+05:30,28.45,success
2026-08-25,H1,Hoodi,10:00,OFFICE,1952,391,396,2026-08-25T10:06:36+05:30,13.4,success
2026-08-25,H2,Hoodi,08:30,OFFICE,2388,494,548,2026-08-25T08:39:08+05:30,100.86666666666666,success
2026-08-25,H2,Hoodi,08:45,OFFICE,2388,494,521,2026-08-25T08:53:41+05:30,86.31666666666666,success
2026-08-25,H2,Hoodi,09:00,OFFICE,2388,494,536,2026-08-25T09:08:56+05:30,71.06666666666666,success
2026-08-25,H2,Hoodi,09:15,OFFICE,2387,494,546,2026-08-25T09:24:06+05:30,55.9,success
2026-08-25,H2,Hoodi,09:30,OFFICE,2388,494,513,2026-08-25T09:38:33+05:30,41.45,success
2026-08-25,H2,Hoodi,09:45,OFFICE,2388,494,516,2026-08-25T09:53:36+05:30,26.4,success
2026-08-25,H2,Hoodi,10:00,OFFICE,2388,494,526,2026-08-25T10:08:46+05:30,11.233333333333333,success
2026-08-25,H3,Hoodi,08:30,OFFICE,1921,395,411,2026-08-25T08:36:51+05:30,103.15,success
