origin_cluster_id,locality,departure_time,sample_size,mean_traffic_duration_seconds,median_traffic_duration_seconds,p90_traffic_duration_seconds,min_traffic_duration_seconds,max_traffic_duration_seconds,mean_arrival_buffer_minutes,median_arrival_buffer_minutes,worst_arrival_buffer_minutes,on_time_count,off_time_count
H1,Hoodi,09:45,5,380.2,382.0,390.2,359.0,393.0,28.663333333333334,28.633333333333333,28.45,5,0
H1,Hoodi,10:00,5,386.4,390.0,395.6,366.0,396.0,13.559999999999999,13.5,13.4,5,0
H2,Hoodi,08:30,5,499.6,511.0,534.0,433.0,548.0,101.67333333333333,101.48333333333333,100.86666666666666,5,0
H2,Hoodi,08:45,5,501.8,521.0,527.2,428.0,530.0,86.63666666666667,86.31666666666666,86.16666666666667,5,0
H2,Hoodi,09:00,5,523.0,536.0,568.8,438.0,582.0,71.28333333333333,71.06666666666666,70.3,5,0
H2,Hoodi,09:15,5,521.2,528.0,572.4,438.0,590.0,56.31333333333333,56.2,55.166666666666664,5,0
H2,Hoodi,09:30,5,503.8,512.0,535.2,442.0,550.0,41.60333333333333,41.46666666666667,40.833333333333336,5,0
H2,Hoodi,09:45,5,498.8,516.0,520.2,442.0,523.0,26.686666666666667,26.4,26.283333333333335,5,0
H2,Hoodi,10:00,5,505.4,526.0,532.6,447.0,535.0,11.576666666666666,11.233333333333333,11.083333333333334,5,0
H3,Hoodi,08:30,5,389.4,398.0,409.0,342.0,411.0,103.50999999999999,103.36666666666666,103.15,5,0
H3,Hoodi,08:45,5,388.0,402.0,403.6,338.0,404.0,88.53333333333333,88.3,88.26666666666667,5,0
H3,Hoodi,09:00,5,402.6,415.0,420.8,347.0,424.0,73.28999999999999,73.08333333333333,72.93333333333334,5,0
H3,Hoodi,09:15,5,413.4,429.0,439.2,344.0,440.0,58.11,57.85,57.666666666666664,5,0
H3,Hoodi,09:30,5,423.2,450.0,453.2,344.0,454.0,42.946666666666665,42.5,42.43333333333333,5,0
H3,Hoodi,09:45,5,434.4,455.0,480.4,350.0,482.0,27.759999999999998,27.416666666666668,26.966666666666665,5,0
H3,Hoodi,10:00,5,439.4,463.0,494.0,349.0,514.0,12.676666666666668,12.283333333333333,11.433333333333334,5,0
K1,Kaggadasapura,08:30,5,1356.8,1391.0,1423.4,1207.0,1439.0,87.38666666666667,86.81666666666666,86.01666666666667,5,0
K1,Kaggadasapura,08:45,5,1376.0,1392.0,1459.6,1211.0,1492.0,72.06666666666668,71.8,70.13333333333334,5,0
K1,Kaggadasapura,09:00,5,1393.4,1432.0,1476.0,1221.0,1492.0,56.776666666666664,56.13333333333333,55.13333333333333,5,0
K1,Kaggadasapura,09:15,5,1392.4,1402.0,1489.8,1229.0,1513.0,41.79333333333334,41.63333333333333,39.78333333333333,5,0
K1,Kaggadasapura,09:30,5,1414.0,1454.0,1516.2,1234.0,1535.0,26.433333333333337,25.766666666666666,24.416666666666668,5,0
K1,Kaggadasapura,09:45,5,1425.8,1432.0,1544.4,1259.0,1578.0,11.236666666666668,11.133333333333333,8.7,5,0
K1,Kaggadasapura,10:00,5,1431.0,1446.0,1542.2,1274.0,1575.0,-3.85,-4.1,-6.25,0,5
K2,Kaggadasapura,08:30,5,1351.2,1386.0,1420.0,1200.0,1436.0,87.48,86.9,86.06666666666666,5,0
K2,Kaggadasapura,08:45,5,1372.6,1388.0,1457.0,1209.0,1489.0,72.12333333333333,71.86666666666666,70.18333333333334,5,0
K2,Kaggadasapura,09:00,5,1392.8,1436.0,1476.4,1217.0,1492.0,56.78666666666667,56.06666666666667,55.13333333333333,5,0
K2,Kaggadasapura,09:15,5,1390.0,1396.0,1489.0,1225.0,1513.0,41.83333333333333,41.733333333333334,39.78333333333333,5,0
K2,Kaggadasapura,09:30,5,1407.4,1441.0,1510.8,1232.0,1532.0,26.543333333333333,25.983333333333334,24.466666666666665,5,0
K2,Kaggadasapura,09:45,5,1418.2,1418.0,1535.4,1257.0,1569.0,11.363333333333333,11.366666666666667,8.85,5,0
K2,Kaggadasapura,10:00,5,1425.8,1435.0,1535.4,1271.0,1567.0,-3.763333333333333,-3.9166666666666665,-6.116666666666666,0,5
K3,Kaggadasapura,08:30,5,1562.2,1608.0,1640.0,1377.0,1658.0,83.96333333333332,83.2,82.36666666666666,5,0
