origin_cluster_id,locality,departure_time,destination_cluster_id,distance_meters,static_duration_seconds,traffic_duration_seconds,route_description,encoded_polyline,predicted_arrival_time,arrival_buffer_minutes,status
H2,Hoodi,2026-08-24T09:45:00+05:30,OFFICE,2388,494,523,ITPL Main Rd,ychnAahjyMqA^u@GKHId@]BkCi@gAS?hDCfCFf@L^PTv@r@nBzBnB`Cl@v@GVQCo@Ou@Eo@Dk@LUJm@`@MRCJ@V[v@}AxGe@dDOxCWfUI|EKxA}@~Eg@hCGb@REHGJQDSRTp@H@I[CIIGW@UPcAHKVC~@BR@~@A,2026-08-24T09:53:43+05:30,26.283333333333335,success
H2,Hoodi,2026-08-24T10:00:00+05:30,OFFICE,2388,494,535,ITPL Main Rd,ychnAahjyMqA^u@GKHId@]BkCi@gAS?hDCfCFf@L^PTv@r@nBzBnB`Cl@v@GVQCo@Ou@Eo@Dk@LUJm@`@MRCJ@V[v@}AxGe@dDOxCWfUI|EKxA}@~Eg@hCGb@REHGJQDSRTp@H@I[CIIGW@UPcAHKVC~@BR@~@A,2026-08-24T10:08:55+05:30,11.083333333333334,success
H3,Hoodi,2026-08-24T08:30:00+05:30,OFFICE,1921,395,406,Graphite India Main Rd/Kundalahalli Main Rd,qlfnAymhyM_Dj@uBVsAF}FDcCCIJ}@TwB^iKzB{FlAuDr@wJtBkCl@_@HIjBU~AuAjHGb@REHGJQDSRTp@H@I[CIIGW@UPcAHKVC~@BR@~@A,2026-08-24T08:36:46+05:30,103.23333333333333,success
H3,Hoodi,2026-08-24T08:45:00+05:30,OFFICE,1921,395,402,Graphite India Main Rd/Kundalahalli Main Rd,qlfnAymhyM_Dj@uBVsAF}FDcCCIJ}@TwB^iKzB{FlAuDr@wJtBkCl@_@HIjBU~AuAjHGb@REHGJQDSRTp@H@I[CIIGW@UPcAHKVC~@BR@~@A,2026-08-24T08:51:42+05:30,88.3,success
H3,Hoodi,2026-08-24T09:00:00+05:30,OFFICE,1921,395,416,Graphite India Main Rd/Kundalahalli Main Rd,qlfnAymhyM_Dj@uBVsAF}FDcCCIJ}@TwB^iKzB{FlAuDr@wJtBkCl@_@HIjBU~AuAjHGb@REHGJQDSRTp@H@I[CIIGW@UPcAHKVC~@BR@~@A,2026-08-24T09:06:56+05:30,73.06666666666666,success
H3,Hoodi,2026-08-24T09:15:00+05:30,OFFICE,1921,395,440,Graphite India Main Rd/Kundalahalli Main Rd,qlfnAymhyM_Dj@uBVsAF}FDcCCIJ}@TwB^iKzB{FlAuDr@wJtBkCl@_@HIjBU~AuAjHGb@REHGJQDSRTp@H@I[CIIGW@UPcAHKVC~@BR@~@A,2026-08-24T09:22:20+05:30,57.666666666666664,success
H3,Hoodi,2026-08-24T09:30:00+05:30,OFFICE,1921,395,454,Graphite India Main Rd/Kundalahalli Main Rd,qlfnAymhyM_Dj@uBVsAF}FDcCCIJ}@TwB^iKzB{FlAuDr@wJtBkCl@_@HIjBU~AuAjHGb@REHGJQDSRTp@H@I[CIIGW@UPcAHKVC~@BR@~@A,2026-08-24T09:37:34+05:30,42.43333333333333,success
H3,Hoodi,2026-08-24T09:45:00+05:30,OFFICE,1920,395,455,Graphite India Main Rd/Kundalahalli Main Rd,qlfnAymhyM_Dj@uBVsAF}FDcCCIJ}@TwB^iKzB{FlAuDr@wJtBkCl@_@HIjBU~AuAjHGb@REHGJQDSRTp@H@I[CIIGW@UPcAHKVC~@BR@~@A,2026-08-24T09:52:35+05:30,27.416666666666668,success
H3,Hoodi,2026-08-24T10:00:00+05:30,OFFICE,1921,395,463,Graphite India Main Rd/Kundalahalli Main Rd,qlfnAymhyM_Dj@uBVsAF}FDcCCIJ}@TwB^iKzB{FlAuDr@wJtBkCl@_@HIjBU~AuAjHGb@REHGJQDSRTp@H@I[CIIGW@UPcAHKVC~@BR@~@A,2026-08-24T10:07:43+05:30,12.283333333333333,success
D1,Doddanekkundi,2026-08-24T08:30:00+05:30,OFFICE,4436,932,998,Graphite India Main Rd/Kundalahalli Main Rd,yvdnAwzfyM@b@CVK@iMmAIGHgCBs@DMBAP@rA`@hBVnD`@n@HRA[{AsAuEWqA?UQWkAk@iAk@GE_@AFo@PgFJkHFuBsDdAMFKIiB{GgD|@}D`A_Dz@eBXw@JyANcByJeCf@uFfAgCZsAF}FDcCCIJ}@TwB^iKzB{FlAuDr@wJtBkCl@_@HIjBU~AuAjHGb@REHGJQDSRTp@H@I[CIIGW@UPcAHKVC~@BR@~@A,2026-08-24T08:46:38+05:30,93.36666666666666,success
